Study,tpos,tneg,tn,cpos,cneg,cn,wek
Ban 2017,6,38,44,4,39,43,4
Hirai 2018,49,12,61,53,13,66,4
Ichida 2018,9,34,43,6,33,39,4
Ishi 2018,2,25,27,3,23,26,4
Komori2019,0,18,18,0,15,15,4
Maruoka 2017,10,21,31,4,27,31,4
Otsuka 2018,22,13,35,60,32,92,4
Takahashi 2016,11,3,14,11,1,12,4
Yamasaki 2018,24,53,77,17,73,90,4
Ban 2017,42,3,45,41,6,47,8
Hamada 2018,44,10,54,47,12,59,8
Hirai 2018,52,9,61,57,9,66,8
Ichida 2018,39,4,43,36,3,39,8
Ishii 2018,24,3,27,22,4,26,8
Otsuka 2018,28,2,30,82,14,96,8
Shimozato 2017,23,4,27,34,12,46,8
Tsuchiya 2017,37,2,39,32,9,41,8
